image : edge検出のみ、160x60
input : 全データ / epoch
train : AdamOptimizer、学習率0.001、mini batch 64 data/batch、dropout 0.5


[model_test]
結構ちゃんと曲がる。意外とすごい。
・曲がらないときもある

label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label  90 - answer  90
label 150 - answer  90
label 150 - answer  90
label 150 - answer  90
label 150 - answer  90
