image : edge検出のみ、160x60
input : 全データ / epoch、入力データの並びをランダムに変更
train : AdamOptimizer、学習率0.001、mini batch 64 data/batch、dropout 0.5

[result_test]
total accuracy : 0.913183

label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer100
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label 90 - answer 90
label150 - answer 90
label150 - answer 90
label150 - answer 90
label150 - answer 90
label150 - answer 90
